región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
San Martín,2.1989427010350306,11.09497725171842,41.98659580473716,133.62623569850234,0,0,0,2020
Loreto,2.211566311414697,12.930232558139537,45.81678223995554,133.9576778599886,0,0,0,2020
Ucayali,2.153739745828211,10.556676105259186,45.15855981256891,126.37458497975726,0,0,0,2020
Madre de Dios,2.217767703551616,16.02721488007832,63.357574917076526,162.1093944562397,0,0,0,2020
Tumbes,2.2258731252318618,11.220673240394424,54.42498816848084,151.88470066518846,9.849129247436988,0,0,2019
Piura,2.235746566056155,12.384388868151465,51.26738250308045,150.96747202175504,13.753403511780974,0,0,2019
Lambayeque,2.1820623842347113,16.61901919512425,54.369116067479624,144.5418103850098,13.89094680693436,0,0,2019
La Libertad,2.252375670791913,13.252814370623634,57.02601606057278,141.36953346507434,12.256689291524092,31.22730573710966,0,2019
Cajamarca,2.0731428778185585,12.129407051282051,42.97853724497236,125.38389570240201,10.23371594523579,0,0,2019
Amazonas,7.974481658692184,15.855039637599093,53.05211209682157,147.65446408448437,12.458471760797343,0,0,2019
Ancash,2.2349921094479304,10.578061266803887,32.146100292604174,135.10987727278976,10.678238821980594,28.205128205128204,0,2019
Lima,2.262039253004035,12.372645998783018,63.4848303560897,190.41072954944,13.083286285868578,26.845637583892618,31.03448275862069,2019
Ica,2.1019457783531443,14.153029632905795,54.149377593360995,152.5501608209527,14.225652249035305,0,0,2019
Huánuco,2.043122262293559,11.425922044598568,38.76233063370821,153.8750159127912,10.159900544433489,27.070063694267517,0,2019
Pasco,2.1394009677290358,12.49078128063182,36.656729601413275,158.4635921284933,11.3314447592068,22.992166104069803,28.96659707724426,2019
Junín,2.1899126042264516,10.810650712318218,42.44957200688986,130.41912835703647,12.273361227336123,22.0374872559015,27.79064381658175,2019
Huancavelica,1.9840099416791528,12.998024588907029,36.74617461746175,117.58770307086878,13.021339448828078,25.23602845764911,34.054943663754905,2019
Arequipa,2.2414992136423093,14.631454903376543,55.7116953762466,156.4280829724185,12.578616352201259,24.635521975098438,34.54526068877279,2019
Moquegua,2.0720400175809455,20.332258864368956,44.711852677713274,214.30615164520745,14.513788098693759,30.84770463930046,43.60679970436068,2019
Tacna,2.2762368168560587,23.046586147399555,39.2996617354568,192.65873015873018,14.224218603780647,28.40623428858723,29.462365591397848,2019
Ayacucho,2.027510973168537,11.780490593055648,44.24011938574111,126.18741316317606,12.071651090342678,26.640762823518905,29.818956336528224,2019
Apurímac,2.0066164108682685,11.604293588627792,38.896598124553215,109.89269578313252,10.603588907014682,24.321959755030623,28.62037690214653,2019
Cusco,2.1363280532302618,11.987494181228726,41.06404529830795,148.83357762222434,12.81722635221738,26.595803699224426,29.071537290715373,2019
Puno,1.9828146223350853,13.793377462393618,33.43271973036038,143.66245302357365,0,27.64831571852638,38.49525383825481,2019
San Martín,2.1950136085304743,10.358914502480305,42.90583061106162,110.34470592386127,0,0,0,2019
Loreto,2.2314166660162207,12.293344637558286,45.058187725871164,117.14429361488185,0,0,0,2019
Ucayali,2.1492616501580626,12.237762237762238,39.008234049404294,128.2116187824326,0,0,0,2019
Madre de Dios,2.2453785954589707,17.374517374517374,59.941770851173146,161.94635910735002,0,0,0,2019
Tumbes,2.184487775420712,11.361613445378152,41.952180451127816,154.5198426784994,10.590539805825241,0,0,2018
Piura,2.2077995480770847,11.426437741484305,48.06655669409435,157.2935938681185,13.029066421214301,0,0,2018
Lambayeque,2.199882846745703,17.40872920997921,57.30218826527235,141.20926550868484,14.868222587327667,0,0,2018
La Libertad,2.2207105324901235,13.245706004006633,57.00928168163267,141.3391784731662,12.266753471654958,30.912162033359813,0,2018
Cajamarca,1.9945386028331138,11.739631464236181,42.90255495628272,124.42792451716952,8.64011040354399,0,0,2018
Amazonas,7.599998501860446,15.893783303730018,52.95973064573671,147.24941094491885,12.506561679790028,0,0,2018
Ancash,2.2666178271113253,10.536822386038372,32.21321022006294,134.72620732779066,10.577738876732312,28.47202857976086,0,2018
